Name,Sale Price (PKR),Regular Price (PKR),Category,Description,Image URL,Product URL
Little Sunflower - Dungaree Romper,1499,2099,Clothing > Rompers / Dungarees,Dungaree romper for babies available in sizes NB to 18-24 months. Summer sale 30% off.,https://zimysonline.com/cdn/shop/files/Gemini_Generated_Image_mdjd5xmdjd5xmdjd.png,https://zimysonline.com/products/dungaree-romper-twinkle-star-copy
Twinkle Stars - Dungaree Romper,1499,2099,Clothing > Rompers / Dungarees,Dungaree romper with twinkle stars print for babies NB to 18-24 months.,https://zimysonline.com/cdn/shop/files/Gemini_Generated_Image_yd9hwtyd9hwtyd9h.png,https://zimysonline.com/products/dungaree-romper-twinkle-star
Cosmic Koala - Dungaree Romper,1499,2099,Clothing > Rompers / Dungarees,Dungaree romper with cosmic koala print for babies NB to 18-24 months.,https://zimysonline.com/cdn/shop/files/Gemini_Generated_Image_6ogix06ogix06ogi.png,https://zimysonline.com/products/dungaree-romper-sunflower
Cute Panda - Dungaree Romper,1499,2099,Clothing > Rompers / Dungarees,Dungaree romper with cute panda print for babies NB to 18-24 months.,https://zimysonline.com/cdn/shop/files/Gemini_Generated_Image_ffzh1nffzh1nffzh_1.png,https://zimysonline.com/products/dungaree-romper-cosmic-koala-copy
Sweet Spring - Dungaree Romper,1499,2099,Clothing > Rompers / Dungarees,Dungaree romper with sweet spring design for babies NB to 18-24 months.,https://zimysonline.com/cdn/shop/files/Gemini_Generated_Image_werfvfwerfvfwerf.png,https://zimysonline.com/products/dungaree-romper-panda-playtime-copy
Sky Friends - Dungaree Romper,1499,2099,Clothing > Rompers / Dungarees,Dungaree romper with sky friends print for babies NB to 18-24 months.,https://zimysonline.com/cdn/shop/files/Gemini_Generated_Image_qxda98qxda98qxda_1.png,https://zimysonline.com/products/dungaree-romper-sunflower-copy
Sunny Fruits Half Length Romper,1399,1899,Clothing > Rompers / Dungarees,Half-length romper with sunny fruits print for babies NB to 12-18 months. (Sold out),https://zimysonline.com/cdn/shop/files/Untitled_design_6_3be3eb04-5743-450e-9ead-ca53c58c790d.jpg,https://zimysonline.com/products/blue-cuddle-cubs-3-piece-set-copy-1
Berry Bloom 3-Piece Set,1599,2299,Clothing > Bodysuit Sets,3-piece bodysuit set in berry bloom design. Available NB to 18-24 months.,https://zimysonline.com/cdn/shop/files/products_8_b9189867-c802-4853-ba3c-7fe2a45ff8ad.jpg,https://zimysonline.com/products/playful-elephants-3-piece-set-copy-1
Lil Hearts 3-Piece Bodysuit Set,1799,2499,Clothing > Bodysuit Sets,3-piece bodysuit set with lil hearts print. Available NB to 18-24 months.,https://zimysonline.com/cdn/shop/files/little_love_final.png,https://zimysonline.com/products/lil-hearts-3-piece-bodysuit-set
Cuddle Cubs 3-Piece Set,1599,2299,Clothing > Bodysuit Sets,3-piece bodysuit set with cuddle cubs design. Available NB to 18-24 months.,https://zimysonline.com/cdn/shop/files/Gemini_Generated_Image_lje7rvlje7rvlje7.png,https://zimysonline.com/products/whale-wonders-3-piece-set-copy
